timestamp,zone_name,zone_profile,latitude,longitude,flow_rate_m3h,pressure_bar,consumption_m3,leakage_probability,system_status,anomaly_flag,event_type,nrw_loss_pct,response_time_min,system_efficiency_pct
2026-04-23 15:19:00,Zubara,stable residential,25.3527,56.3525,66.2,5.69,1296.87,0.118,Normal,0,Normal,18.96,49.9,80.09
2026-04-23 15:34:00,Zubara,stable residential,25.3527,56.3525,65.37,5.76,1234.91,0.064,Normal,0,Normal,21.6,100.8,77.88
2026-04-23 15:49:00,Zubara,stable residential,25.3527,56.3525,64.9,5.91,1265.6,0.064,Normal,0,Normal,19.06,91.6,80.42
2026-04-23 16:04:00,Zubara,stable residential,25.3527,56.3525,67.23,5.79,1212.17,0.07,Normal,0,Normal,25.23,107.0,74.22
2026-04-23 16:19:00,Zubara,stable residential,25.3527,56.3525,62.74,5.76,1259.24,0.101,Normal,0,Normal,16.88,92.4,82.31
2026-04-23 16:34:00,Zubara,stable residential,25.3527,56.3525,70.65,5.75,1177.27,0.066,Normal,0,Normal,30.9,96.1,68.58
2026-04-23 16:49:00,Zubara,stable residential,25.3527,56.3525,63.15,5.71,1148.98,0.11,Normal,0,Normal,24.74,98.4,74.39
2026-04-23 17:04:00,Zubara,stable residential,25.3527,56.3525,59.5,5.85,1154.81,0.097,Normal,0,Normal,19.61,87.1,79.61
2026-04-23 17:19:00,Zubara,stable residential,25.3527,56.3525,65.62,5.82,1245.55,0.092,Normal,0,Normal,21.37,90.2,77.89
2026-04-23 17:34:00,Zubara,stable residential,25.3527,56.3525,58.0,5.77,1157.08,0.071,Normal,0,Normal,17.24,80.0,82.2
2026-04-23 17:49:00,Zubara,stable residential,25.3527,56.3525,59.54,5.9,1064.92,0.08,Normal,0,Normal,25.88,87.9,73.48
2026-04-23 18:04:00,Zubara,stable residential,25.3527,56.3525,64.12,5.88,1153.7,0.076,Normal,0,Normal,25.41,100.4,73.99
2026-04-23 18:19:00,Zubara,stable residential,25.3527,56.3525,57.66,5.69,1107.52,0.105,Normal,0,Normal,20.49,87.6,78.67
2026-04-23 18:34:00,Zubara,stable residential,25.3527,56.3525,59.96,5.82,1209.81,0.081,Normal,0,Normal,16.33,93.2,83.02
2026-04-23 18:49:00,Zubara,stable residential,25.3527,56.3525,59.84,5.76,1076.74,0.105,Normal,0,Normal,25.55,76.6,73.61
2026-04-23 19:04:00,Zubara,stable residential,25.3527,56.3525,62.09,5.85,1200.05,0.087,Normal,0,Normal,19.9,77.4,79.4
2026-04-23 19:19:00,Zubara,stable residential,25.3527,56.3525,55.23,5.66,1056.99,0.06,Normal,0,Normal,20.57,92.2,78.95
2026-04-23 19:34:00,Zubara,stable residential,25.3527,56.3525,58.89,5.93,1117.94,0.112,Normal,0,Normal,21.46,68.2,77.64
2026-04-23 19:49:00,Zubara,stable residential,25.3527,56.3525,56.89,5.77,1194.09,0.038,Normal,0,Normal,12.74,92.8,86.96
2026-04-23 20:04:00,Zubara,stable residential,25.3527,56.3525,57.68,5.66,1136.28,0.074,Normal,0,Normal,18.29,89.2,81.12
2026-04-23 20:19:00,Zubara,stable residential,25.3527,56.3525,63.91,5.78,1057.03,0.095,Normal,0,Normal,31.56,89.0,67.67
2026-04-23 20:34:00,Zubara,stable residential,25.3527,56.3525,61.37,5.84,1219.68,0.054,Normal,0,Normal,17.47,73.5,82.1
2026-04-23 20:49:00,Zubara,stable residential,25.3527,56.3525,57.52,5.67,1159.08,0.083,Normal,0,Normal,16.46,58.5,82.88
2026-04-23 21:04:00,Zubara,stable residential,25.3527,56.3525,59.35,5.89,1245.33,0.177,Normal,0,Normal,13.46,92.5,85.12
2026-04-23 21:19:00,Zubara,stable residential,25.3527,56.3525,52.01,5.84,1053.91,0.078,Normal,0,Normal,15.95,74.0,83.43
2026-04-23 21:34:00,Zubara,stable residential,25.3527,56.3525,61.1,5.83,1093.61,0.059,Normal,0,Normal,25.72,54.9,73.81
2026-04-23 21:49:00,Zubara,stable residential,25.3527,56.3525,57.67,5.99,1109.21,0.119,Normal,0,Normal,20.46,76.0,78.58
2026-04-23 22:04:00,Zubara,stable residential,25.3527,56.3525,54.88,5.74,1237.59,0.065,Normal,0,Normal,8.33,100.1,91.15
2026-04-23 22:19:00,Zubara,stable residential,25.3527,56.3525,60.19,5.85,1084.33,0.089,Normal,0,Normal,25.38,73.2,73.91
2026-04-23 22:34:00,Zubara,stable residential,25.3527,56.3525,56.08,5.69,1008.43,0.095,Normal,0,Normal,25.55,113.4,73.69
2026-04-23 22:49:00,Zubara,stable residential,25.3527,56.3525,56.94,5.84,1175.51,0.097,Normal,0,Normal,14.46,77.6,84.77
2026-04-23 23:04:00,Zubara,stable residential,25.3527,56.3525,58.41,5.97,1100.37,0.053,Normal,0,Normal,21.78,60.4,77.8
2026-04-23 23:19:00,Zubara,stable residential,25.3527,56.3525,62.04,5.79,1062.11,0.134,Normal,0,Normal,29.34,65.1,69.59
